,symbol,synonymSymbol,scientificNameWithAuthor,commonName,family
62490,PECO4,PECOP3,Penstemon cobaea Nutt. ssp. purpureus (Pennell) Pennell,,
21405,COCUG2,,Corydalis curvisiliqua Engelm. ssp. grandibracteata (Fedde) G.B. Ownbey,curvepod fumewort,Fumariaceae
70763,PSEUD33,,Pseudephebe M. Choisy,blackcurly lichen,Parmeliaceae
14332,CAHO9,CAHO15,Carex houghtonii Torr.,,
70270,PRLO2,PRLOT,Pritchardia lowreyana Rock var. turbinata Rock,,
3195,AMEL,,Amyris elemifera L.,sea torchwood,Rutaceae
62222,PEAND,,Penstemon angustifolius Nutt. ex Pursh var. dulcis Neese,broadbeard beardtongue,Scrophulariaceae
57083,MYCA,MYLA9,"Mycetia lateriflora Reinw. ex Korth., nom. illeg.",,
5071,ARAN7,ARAR13,Argentina argentea (L.) Rydb.,,
52160,LYAND,,Lycium andersonii A. Gray var. deserticola (C.L. Hitchc.) C.L. Hitchc. ex Munz,water jacket,Solanaceae
86736,THIN6,AGPU9,Agropyron pulcherrimum Grossh.,,
23701,CRPO4,,Croton poecilanthus Urb.,sabinon,Euphorbiaceae
23687,CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn,Rosaceae
78601,SCCA2,,Scrophularia californica Cham. & Schltdl.,California figwort,Scrophulariaceae
30540,ELDA,ELDA6,×Elytesion dakotense (Bowden) Barkworth & D.R. Dewey,,
73212,RAUNP,,Ranunculus uncinatus D. Don ex G. Don var. parviflorus (Torr.) L.D. Benson,Idaho buttercup,Ranunculaceae
74419,RIMUL,,Rimularia Nyl.,rimularia lichen,Rimulariaceae
17085,CECOC2,,Cephalozia connivens (Dicks.) Lindb. var. compacta (Warnst.) Nichols,,Cephaloziaceae
48506,LESAS2,,Leymus salinus (M.E. Jones) Á. Löve ssp. salmonis (C.L. Hitchc.) Atkins,Salmon wildrye,Poaceae
24409,CUPEP,,Cucurbita pepo L. var. pepo,field pumpkin,Cucurbitaceae
21244,COCA19,COBR5,Conradina brevifolia Shinners,,
77941,SAPY,,Salix pyrifolia Andersson,balsam willow,Salicaceae
12987,CABEP2,OESEP,Oenothera serrulata Nutt. ssp. pinifolia (Engelm. ex A. Gray) Munz,,
73315,RESA,REHUB,Reynoldsia huehuensis Sherff var. brevipes Sherff,,
71786,PYCAS,PYSU,Pyrrocoma subsquarrosa Greene,,
19817,CIQU2,CIQUX,Cirsium quercetorum (A. Gray) Jeps. var. xerolepis Petr.,,
6439,ARPA2,,Arabis patens Sull.,spreading rockcress,Brassicaceae
